name;type;status;date;genres;score;members;rank;popularity;image;quantity
Bokura no Te ni wa Nanimo Nai kedo,;Music;Finished Airing;May 21, 2015;Drama, Music;N/A;91;13216;16608;https://cdn.myanimelist.net/images/anime/1255/104663.jpg;1
Bokura no: Tsuisou;Special;Finished Airing;Jul 24, 2007;Sci-Fi, Psychological, Drama, Mecha;6.10;N/A;7688;7794;https://cdn.myanimelist.net/images/anime/8/36163.jpg;1
Bokura wa Minna Kawai-souThe Kawai Complex Guide to Manors and Hostel Behavior;TV;Finished Airing;Apr 4, 2014 to Jun 20, 2014;Slice of Life, Comedy, Romance, School, Seinen;7.73;N/A;940;430;N/A;12
Bokura wa Minna Kawai-sou Specials;Special;Finished Airing;Jul 2, 2014 to Jan 30, 2015;Comedy, Seinen;7.15;N/A;2955;4186;https://cdn.myanimelist.net/images/anime/8/70065.jpg;14
Bokura wa Minna Kawai-sou: Hajimete no;Special;Finished Airing;Jan 30, 2015;Slice of Life, Comedy, Romance, School, Seinen;7.67;N/A;1093;2525;https://cdn.myanimelist.net/images/anime/12/71613.jpg;1
Bokusatsu Tenshi Dokuro-chanBludgeoning Angel Dokuro-chan;OVA;Finished Airing;Mar 13, 2005 to Sep 22, 2005;Comedy, Ecchi, Magic;6.61;N/A;5273;839;N/A;4
Bokusatsu Tenshi Dokuro-chan 2Bludgeoning Angel Dokuro-chan 2;OVA;Finished Airing;Aug 11, 2007 to Nov 10, 2007;Magic, Ecchi, Comedy;6.71;N/A;4782;1402;N/A;2
Bokutachi no Kidzuki-hen;ONA;Finished Airing;Sep 11, 2019;Romance;N/A;152;13217;15402;https://cdn.myanimelist.net/images/anime/1793/104566.jpg;1
Bokutachi no Peace River;OVA;Finished Airing;Oct 19, 1998;Adventure, Drama, Kids, Supernatural;N/A;201;13218;14512;https://cdn.myanimelist.net/images/anime/6/50041.jpg;1
Bokutachi no RemakeRemake our Life!;Unknown;Not yet aired;Not available;Comedy;N/A;N/A;N/A;8609;N/A;N/A
Bokutachi wa Benkyou ga DekinaiWe Never Learn: BOKUBEN;TV;Finished Airing;Apr 7, 2019 to Jun 30, 2019;Harem, Comedy, Romance, School, Shounen;7.34;N/A;2159;575;N/A;13
Bokutachi wa Benkyou ga Dekinai!We Never Learn!: Bokuben;TV;Finished Airing;Oct 6, 2019 to Dec 29, 2019;Harem, Comedy, Romance, School, Shounen;7.37;N/A;2009;916;N/A;13
Bokutachi wa Benkyou ga Dekinai!: Chapel no Kane wa [X] wo Shukufuku Suru;OVA;Finished Airing;Apr 3, 2020;Harem, Comedy, Romance, Shounen;7.28;N/A;2427;3875;https://cdn.myanimelist.net/images/anime/1917/108615.jpg;1
Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to [X] Suru;OVA;Finished Airing;Nov 1, 2019;Harem, Comedy, Romance, School, Shounen;7.30;N/A;2332;2465;https://cdn.myanimelist.net/images/anime/1530/102782.jpg;1
Bollogi IyagiBologee Story;ONA;Finished Airing;2003;Dementia, Drama, Romance;5.54;532;9380;11715;N/A;1
Bomberman B-Daman Bakugaiden;TV;Finished Airing;Feb 7, 1998 to Jan 31, 1999;Sci-Fi, Comedy, Shounen;6.48;N/A;5917;8282;https://cdn.myanimelist.net/images/anime/10/86375.jpg;48
Bomberman B-Daman Bakugaiden Victory;TV;Finished Airing;Feb 7, 1999 to Jan 30, 2000;Sci-Fi, Shounen;6.38;N/A;6408;9381;https://cdn.myanimelist.net/images/anime/2/88833.jpg;50
Bomberman Jetters;TV;Finished Airing;Oct 2, 2002 to Sep 24, 2003;Action, Sci-Fi, Adventure, Comedy;6.88;N/A;4097;7378;https://cdn.myanimelist.net/images/anime/13/54335.jpg;52
Bomberman: Yuuki wo Arigatou - Watashi ga Mimi ni Naru;Movie;Finished Airing;Apr 13, 1995;Drama, Game, Kids;N/A;160;13219;15259;https://cdn.myanimelist.net/images/anime/1809/102768.jpg;1
Bondage Game: Shinsou no ReijoutachiBondage Game;OVA;Finished Airing;Apr 25, 2003 to Aug 22, 2004;Hentai, Psychological;5.21;N/A;N/A;5352;N/A;2
Bondage Game: Shinsou no Reijoutachi - Shinsou no Doreitachi;Special;Finished Airing;Aug 8, 2003;Hentai, Psychological;5.33;N/A;N/A;8239;https://cdn.myanimelist.net/images/anime/4/14290.jpg;1
Bonjour♪Koiaji PâtisserieBonjour♪Sweet Love Patisserie;ONA;Finished Airing;Oct 10, 2014 to Mar 20, 2015;Comedy, Harem, Romance, Shoujo, Slice of Life;6.18;N/A;7330;2326;N/A;24
Bonobono;Movie;Finished Airing;Nov 13, 1993;Comedy;N/A;407;13220;12355;https://cdn.myanimelist.net/images/anime/7/22162.jpg;1
Bonobono (TV 2016)Bono Bono;TV;Currently Airing;Apr 2, 2016 to ?;Slice of Life, Comedy;6.36;N/A;6487;8323;N/A;N/A
Bonobono (TV)Bonobono;TV;Finished Airing;Apr 20, 1995 to Mar 28, 1996;Comedy;6.73;N/A;4687;10017;N/A;48
Bonobono (TV) SpecialsBonobono;Special;Finished Airing;Jan 2, 1997 to Dec 23, 1998;Comedy;N/A;303;13221;13143;N/A;9
Bonobono: Kumomo no Ki no Koto;Movie;Finished Airing;Aug 10, 2002;Drama;N/A;337;13222;12831;https://cdn.myanimelist.net/images/anime/11/22155.jpg;1
Bonobono: Uchuu kara Kita Tomodachi;Movie;Finished Airing;Sep 16, 2017;Adventure, Comedy, Kids;N/A;214;13223;14312;https://cdn.myanimelist.net/images/anime/10/89540.jpg;1
Boo Boo Boy;TV;Finished Airing;Jul 4, 2015 to Dec 26, 2015;Cars, Kids;N/A;281;13224;13378;https://cdn.myanimelist.net/images/anime/5/79707.jpg;26
Boogiepop wa WarawanaiBoogiepop Phantom;TV;Finished Airing;Jan 5, 2000 to Mar 22, 2000;Psychological, Supernatural, Dementia, Mystery, Drama, Horror;7.17;N/A;2857;1465;N/A;12
Boogiepop wa Warawanai (2019)Boogiepop and Others;TV;Finished Airing;Jan 4, 2019 to Mar 29, 2019;Psychological, Mystery, Horror;7.11;N/A;3127;887;N/A;18
Born by Myself;ONA;Finished Airing;2005;Dementia, Psychological;3.30;N/A;10753;8729;https://cdn.myanimelist.net/images/anime/11/23961.jpg;1
Boruto: Jump Festa 2016 Special;Special;Finished Airing;Nov 27, 2016;Action, Adventure, Comedy, Super Power, Martial Arts, Shounen;6.24;N/A;7053;4729;https://cdn.myanimelist.net/images/anime/10/84622.jpg;1
Boruto: Naruto Next Generations;TV;Currently Airing;Apr 5, 2017 to ?;Action, Adventure, Super Power, Martial Arts, Shounen;5.91;N/A;8336;239;https://cdn.myanimelist.net/images/anime/9/84460.jpg;N/A
Boruto: Naruto the Movie;Movie;Finished Airing;Aug 7, 2015;Action, Comedy, Martial Arts, Shounen, Super Power;7.54;N/A;1455;437;https://cdn.myanimelist.net/images/anime/4/78280.jpg;1
Boruto: Naruto the Movie - Naruto ga Hokage ni Natta Hi;Special;Finished Airing;Jul 6, 2016;Action, Comedy, Super Power, Martial Arts, Shounen;7.42;N/A;1837;1715;https://cdn.myanimelist.net/images/anime/6/77678.jpg;1
Bosco DaiboukenBosco Adventure;TV;Finished Airing;Oct 6, 1986 to Mar 30, 1987;Kids, Adventure, Fantasy;6.97;N/A;3705;9714;N/A;26
Bosco no Mori no Nakama-tachi;Special;Finished Airing;Jul 25, 2003;Adventure, Fantasy;N/A;242;13225;13899;https://cdn.myanimelist.net/images/anime/12/34773.jpg;1
Botsuraku;Music;Finished Airing;Dec 10, 2018;Music;N/A;150;13226;15451;https://cdn.myanimelist.net/images/anime/1301/106687.jpg;1
Bouei Honou / Evidence;Music;Finished Airing;Apr 20, 2011;Music;5.57;N/A;9281;9824;https://cdn.myanimelist.net/images/anime/4/32107.jpg;2
Bouen no March;Music;Finished Airing;Sep 23, 2018;Music;6.06;291;7851;13260;https://cdn.myanimelist.net/images/anime/1098/98168.jpg;1
Bouken Dankichi: Hyouryuu no MakiDankichi on a Tropical Island;Movie;Finished Airing;1934;Adventure;4.63;789;10593;10750;N/A;1
Bouken GabotenjimaAdventure on the Gaboten Island;TV;Finished Airing;Apr 4, 1967 to Dec 26, 1967;Adventure;N/A;354;13227;12693;N/A;39
Bouken Korobokkuru;TV;Finished Airing;Oct 6, 1973 to Mar 30, 1974;Adventure;N/A;390;13228;12468;https://cdn.myanimelist.net/images/anime/2/20775.jpg;26
Bouken no Susume;Music;Finished Airing;Oct 26, 2013;Music;N/A;146;13229;15526;https://cdn.myanimelist.net/images/anime/1740/93235.jpg;1
Bouken Ou BeetBeet the Vandel Buster;TV;Finished Airing;Sep 30, 2004 to Sep 29, 2005;Adventure, Fantasy, Shounen, Supernatural;6.98;N/A;3684;4274;N/A;52
Bouken Ou Beet ExcellionBeet the Vandel Buster Excellion;TV;Finished Airing;Oct 6, 2005 to Mar 30, 2006;Adventure, Fantasy, Shounen, Supernatural;6.72;N/A;4751;5622;N/A;25
Bouken Shite mo Ii Koro;OVA;Finished Airing;Nov 21, 1989 to Aug 24, 1990;Comedy, Seinen;5.56;960;9316;10319;https://cdn.myanimelist.net/images/anime/5/73717.jpg;3
Bouken Shounen ShadarAdventure Boy Shadar;TV;Finished Airing;Sep 18, 1967 to Mar 16, 1968;Adventure, Horror;N/A;451;13230;12116;N/A;156
Bouken Yuuki Pluster WorldAdventure Hero Pluster World;TV;Finished Airing;Apr 3, 2003 to Mar 25, 2004;Action, Sci-Fi, Adventure, Shounen;6.19;711;7273;11011;N/A;52
Bouken! Iczer 3Iczer Reborn;OVA;Finished Airing;Sep 25, 1990 to Feb 25, 1991;Action, Adventure, Sci-Fi;5.84;N/A;8559;8360;N/A;6
Bouken-tachi Gamba to Nanbiki no Nakama;Movie;Finished Airing;Mar 4, 1984;Adventure, Kids;N/A;286;13231;13327;https://cdn.myanimelist.net/images/anime/7/69817.jpg;1
Boukensha: The Man Was from SpainChristopher Columbus;TV;Finished Airing;Nov 28, 1992 to Mar 30, 1993;Adventure, Historical;6.22;894;7141;10462;N/A;26
Boukentai: Mori no Yuusha;Music;Finished Airing;Oct 14, 2020;Music, Drama;N/A;72;13232;16859;https://cdn.myanimelist.net/images/anime/1905/109780.jpg;1
Boukyaku Battery;ONA;Finished Airing;Oct 11, 2020;Sports, School, Shounen;N/A;548;13233;11630;https://cdn.myanimelist.net/images/anime/1093/109641.jpg;1
Boukyaku no SenritsuThe Melody of Oblivion;TV;Finished Airing;Apr 7, 2004 to Sep 22, 2004;Adventure, Fantasy, Horror, Mecha, Psychological, Sci-Fi, Shounen, Space, Supernatural;6.35;N/A;6515;3881;N/A;24
Bounen no XamdouXam'd: Lost Memories;ONA;Finished Airing;Jul 15, 2008 to Feb 4, 2009;Action, Military, Sci-Fi, Adventure;7.69;N/A;1038;1185;N/A;26
Bouningen Weekend;ONA;Finished Airing;Dec 17, 2015 to Apr 27, 2016;Slice of Life;5.35;259;9799;13658;https://cdn.myanimelist.net/images/anime/3/79962.jpg;20
Bounty Dog: Getsumen no Ibu;OVA;Finished Airing;Oct 1, 1994 to Nov 1, 1994;Action, Sci-Fi, Space;5.56;N/A;9317;7692;https://cdn.myanimelist.net/images/anime/1064/96383.jpg;2
Bounty Hunter: The Hard;OVA;Finished Airing;May 1, 1996;Action, Police;5.80;921;8681;10400;https://cdn.myanimelist.net/images/anime/1534/96368.jpg;1
Bousai Keihatsu DougaThe Disaster Awareness Video;ONA;Finished Airing;Apr, 2014;Slice of Life;N/A;122;13234;15970;N/A;2
Bousou Sengokushi;OVA;Finished Airing;Feb 1, 1991 to Nov 21, 1991;Action;N/A;323;13235;12938;https://cdn.myanimelist.net/images/anime/1895/94220.jpg;2
Box;Movie;Finished Airing;1982;Dementia;5.24;377;10005;12561;https://cdn.myanimelist.net/images/anime/2/75697.jpg;1
Boy General;TV;Finished Airing;1982 to 1997;Action, Drama, Historical, Military;N/A;63;13236;16947;https://cdn.myanimelist.net/images/anime/1354/100287.jpg;50
Boy Meets Harem The Animation;OVA;Finished Airing;Oct 31, 2014;Harem, Hentai;7.18;N/A;N/A;4135;https://cdn.myanimelist.net/images/anime/1634/103891.jpg;1
BOY's LOVE Nitro+CHiRAL;ONA;Finished Airing;Apr 1, 2017;Comedy, Parody;5.15;N/A;10137;8786;https://cdn.myanimelist.net/images/anime/11/85082.jpg;5
Boyfriend;Special;Finished Airing;Feb 11, 1992;Sports, Romance, Shoujo;5.74;676;8848;11129;https://cdn.myanimelist.net/images/anime/1161/95950.jpg;1
Boys Be...;TV;Finished Airing;Apr 11, 2000 to Jul 4, 2000;Slice of Life, Comedy, Romance, Shounen;6.46;N/A;6023;3580;https://cdn.myanimelist.net/images/anime/1/2223.jpg;13
BraFro x Taka no Tsume: Brave Funding Prologue;ONA;Finished Airing;May 28, 2017;Parody;N/A;270;13237;13508;https://cdn.myanimelist.net/images/anime/7/85973.jpg;1
Brain Powerd;TV;Finished Airing;Apr 8, 1998 to Nov 11, 1998;Action, Adventure, Mecha, Sci-Fi;6.12;N/A;7581;5256;https://cdn.myanimelist.net/images/anime/1749/91562.jpg;26
Brand New Story;Music;Finished Airing;Jun 20, 2019;Music;6.20;644;7240;11240;https://cdn.myanimelist.net/images/anime/1218/101654.jpg;1
Brandish;OVA;Finished Airing;Jun 22, 2012 to Aug 24, 2012;Hentai, Demons, Supernatural;6.72;N/A;N/A;4226;https://cdn.myanimelist.net/images/anime/1778/103892.jpg;2
Brave 10;TV;Finished Airing;Jan 8, 2012 to Mar 25, 2012;Action, Adventure, Historical, Super Power, Samurai, Seinen;6.81;N/A;4349;1081;https://cdn.myanimelist.net/images/anime/13/34043.jpg;12
Brave Beats;TV;Finished Airing;Oct 11, 2015 to Mar 27, 2016;Adventure, Music;6.45;N/A;6057;7043;https://cdn.myanimelist.net/images/anime/3/76152.jpg;22
Brave Fire S0.9;Special;Finished Airing;Apr 29, 1987;Mecha, Sci-Fi;N/A;350;13238;12721;https://cdn.myanimelist.net/images/anime/12/28049.jpg;1
Brave Story;Movie;Finished Airing;Jul 8, 2006;Action, Adventure, Fantasy, Kids, Magic, Supernatural;7.46;N/A;1701;2589;https://cdn.myanimelist.net/images/anime/1333/97262.jpg;1
Brave Witches;TV;Finished Airing;Oct 6, 2016 to Dec 29, 2016;Action, Ecchi, Magic, Military, Sci-Fi;6.82;N/A;4318;2256;https://cdn.myanimelist.net/images/anime/6/81854.jpg;12
Brave Witches: Petersburg DaisenryakuBrave Witches: Petersburg Grand Strategy;Special;Finished Airing;Aug 25, 2017;Action, Ecchi, Magic, Military, Sci-Fi;7.01;N/A;3561;5242;N/A;1
Break BladeBroken Blade;TV;Finished Airing;Apr 6, 2014 to Jun 22, 2014;Action, Military, Fantasy, Mecha, Shounen;7.30;N/A;2333;1610;N/A;12
Break Blade 1: Kakusei no TokiBroken Blade;Movie;Finished Airing;May 29, 2010;Action, Fantasy, Mecha, Military, Shounen;7.68;N/A;1079;1641;N/A;1
Break Blade 2: Ketsubetsu no MichiBroken Blade 2;Movie;Finished Airing;Jun 26, 2010;Action, Fantasy, Mecha, Military, Shounen;7.75;N/A;907;1999;N/A;1
Break Blade 3: Kyoujin no AtoBroken Blade 3;Movie;Finished Airing;Sep 25, 2010;Action, Military, Fantasy, Mecha, Shounen;7.82;N/A;788;2061;N/A;1
Break Blade 4: Sanka no ChiBroken Blade 4;Movie;Finished Airing;Oct 30, 2010;Action, Fantasy, Mecha, Military, Shounen;7.87;N/A;696;2091;N/A;1
Break Blade 5: Shisen no HateBroken Blade 5;Movie;Finished Airing;Jan 22, 2011;Action, Military, Fantasy, Mecha, Shounen;7.85;N/A;721;2157;N/A;1
Break Blade 6: Doukoku no TorideBroken Blade 6;Movie;Finished Airing;Mar 26, 2011;Action, Military, Fantasy, Mecha, Shounen;7.72;N/A;974;2175;N/A;1
Break Blade Picture DramaBroken Blade Picture Drama;Special;Finished Airing;Jul 23, 2010 to Jul 22, 2011;Comedy, Fantasy;6.66;N/A;5041;5909;N/A;6
Break Blade: Virgins War;Special;Finished Airing;Aug 26, 2014;Action;6.57;N/A;5459;7041;https://cdn.myanimelist.net/images/anime/7/73418.jpg;1
Break Go!Ga!;ONA;Finished Airing;Dec 14, 2017;Game, Shounen;N/A;220;13239;14218;https://cdn.myanimelist.net/images/anime/12/89474.jpg;1
Break-Age;OVA;Finished Airing;Sep 25, 1999;Sci-Fi, Mecha, Shounen;N/A;519;13240;11748;https://cdn.myanimelist.net/images/anime/3/61153.jpg;1
Breakers;TV;Finished Airing;Jan 7, 2020 to May 26, 2020;Sports;6.34;N/A;6582;5387;https://cdn.myanimelist.net/images/anime/1125/106426.jpg;16
Bremen 4: Jigoku no Naka no Tenshi-tachiBremen 4;Special;Finished Airing;Aug 23, 1981;Kids, Adventure;5.86;599;8504;11403;N/A;1
Bremen no Muppet Musician;Music;Finished Airing;Dec 3, 2002;Kids, Music;N/A;45;13241;17143;https://cdn.myanimelist.net/images/anime/1725/108884.jpg;1
Brigadoon: Marin to MelanBrigadoon;TV;Finished Airing;Jul 21, 2000 to Feb 9, 2001;Adventure, Comedy, Drama, Mecha, Sci-Fi;7.27;N/A;2456;4751;N/A;26
Brilliant Better;Music;Finished Airing;Sep 21, 2016;Music;5.45;860;9587;10549;https://cdn.myanimelist.net/images/anime/6/88444.jpg;1
Broadcast by Bibby;ONA;Currently Airing;May 31, 2019 to ?;Comedy;N/A;118;13242;16066;https://cdn.myanimelist.net/images/anime/1770/101722.jpg;N/A
Bronze: Kouji Nanjo Cathexis;OVA;Finished Airing;Jul 6, 1994;Music, Shounen Ai;6.27;N/A;6895;6607;https://cdn.myanimelist.net/images/anime/13/73228.jpg;1
Bronze: Zetsuai Since 1989;OVA;Finished Airing;Dec 4, 1996;Drama, Music, Romance, Sports, Yaoi;6.47;N/A;N/A;4922;https://cdn.myanimelist.net/images/anime/5/73227.jpg;1
Broots;Special;Finished Airing;1984;Sci-Fi, Mecha;5.18;329;10098;12897;https://cdn.myanimelist.net/images/anime/10/68425.jpg;1
Brotherhood: Final Fantasy XV;ONA;Finished Airing;Mar 31, 2016 to Sep 18, 2016;Action;6.99;N/A;3633;1859;https://cdn.myanimelist.net/images/anime/13/79397.jpg;5
Brothers Conflict;TV;Finished Airing;Jul 2, 2013 to Sep 17, 2013;Harem, Romance, Shoujo;6.19;N/A;7274;1026;https://cdn.myanimelist.net/images/anime/5/51409.jpg;12
Brothers Conflict OVA;OVA;Finished Airing;Dec 19, 2014 to Feb 11, 2015;Harem, Romance, Shoujo;6.68;N/A;4954;3488;https://cdn.myanimelist.net/images/anime/13/66551.jpg;2
Brothers Conflict: Setsubou;Special;Finished Airing;Feb 26, 2014;Harem, Romance, Shoujo;6.58;N/A;5427;3724;https://cdn.myanimelist.net/images/anime/3/59141.jpg;1
Btooom!;TV;Finished Airing;Oct 4, 2012 to Dec 20, 2012;Action, Sci-Fi, Psychological, Seinen;7.41;N/A;1858;129;https://cdn.myanimelist.net/images/anime/4/40977.jpg;12
Btooom!: Bakusatsu Digest;ONA;Finished Airing;Nov 16, 2012 to Dec 19, 2012;Action;5.86;N/A;8505;5022;https://cdn.myanimelist.net/images/anime/1804/102931.jpg;2
Bubaga;TV;Finished Airing;May 5, 1995 to Jan 8, 1997;Kids, Adventure;N/A;159;13243;15280;https://cdn.myanimelist.net/images/anime/6/70827.jpg;8
Bubble Bath;Music;Finished Airing;Dec 2, 2001;Music, Kids;N/A;132;13244;15775;https://cdn.myanimelist.net/images/anime/8/87782.jpg;1
Bubblegum Crash;OVA;Finished Airing;May 25, 1991 to Dec 21, 1991;Action, Adventure, Mecha, Sci-Fi, Shounen;6.54;N/A;5632;5131;https://cdn.myanimelist.net/images/anime/11/2845.jpg;3
Bubblegum Crisis;OVA;Finished Airing;Feb 25, 1987 to Jan 30, 1991;Adventure, Mecha, Sci-Fi, Shounen;7.29;N/A;2362;2696;https://cdn.myanimelist.net/images/anime/5/27361.jpg;8
Bubblegum Crisis Tokyo 2040;TV;Finished Airing;Oct 8, 1998 to Apr 1, 1999;Adventure, Mecha, Sci-Fi, Shounen;7.11;N/A;3128;2883;https://cdn.myanimelist.net/images/anime/1699/92414.jpg;26
Bubuki BurankiBBK/BRNK;TV;Finished Airing;Jan 9, 2016 to Mar 26, 2016;Action, Sci-Fi, Drama, Mecha;6.32;N/A;6672;1799;N/A;12
Bubuki Buranki: Hoshi no KyojinBBK/BRNK: The Gentle Giants of the Galaxy;TV;Finished Airing;Oct 1, 2016 to Dec 17, 2016;Action, Sci-Fi, Drama, Mecha;6.85;N/A;4181;3315;N/A;12
Bucchigiri;OVA;Finished Airing;Oct 27, 1989 to Mar 25, 1991;Sports;N/A;465;13245;12040;https://cdn.myanimelist.net/images/anime/10/62251.jpg;4
BUCK-TICK x HAL;Music;Finished Airing;Oct 25, 2018;Music;N/A;196;13246;14620;https://cdn.myanimelist.net/images/anime/1077/95867.jpg;4
Bucket de Gohan;TV;Finished Airing;Jan 8, 1996 to Jun 24, 1996;Comedy;N/A;262;13247;13605;https://cdn.myanimelist.net/images/anime/10/26452.jpg;20
Bucket no Ana;Music;Finished Airing;Aug 5, 1968;Music;N/A;211;13248;14377;https://cdn.myanimelist.net/images/anime/4/72267.jpg;1
Bucket no Naka no KakaKaka in the bucket.;ONA;Finished Airing;Dec 31, 2009;Fantasy;N/A;180;13249;14903;N/A;1
Buddha SaitanThe Rebirth of Buddha;Movie;Finished Airing;Oct 17, 2009;Psychological, Supernatural, Romance;5.96;N/A;8197;5986;N/A;1
Buddy Complex;TV;Finished Airing;Jan 6, 2014 to Mar 31, 2014;Action, Sci-Fi, Mecha;7.18;N/A;2830;1732;https://cdn.myanimelist.net/images/anime/12/57303.jpg;13
Buddy Complex: Daremo Shiranai Ashita e;ONA;Finished Airing;Sep 20, 2014;Action, Mecha, Sci-Fi;6.97;N/A;3706;7885;https://cdn.myanimelist.net/images/anime/4/75763.jpg;1
Buddy Complex: Kanketsu-hen - Ano Sora ni Kaeru Mirai de;Special;Finished Airing;Sep 30, 2014 to Oct 1, 2014;Action, Mecha, Sci-Fi;7.31;N/A;2267;3388;https://cdn.myanimelist.net/images/anime/3/67521.jpg;2
Buddy Go!;Special;Finished Airing;Apr 6, 2016 to Apr 19, 2016;Comedy, Romance, Shoujo;6.27;N/A;6896;6435;https://cdn.myanimelist.net/images/anime/7/79323.jpg;3
Buddy Go! 2;Special;Finished Airing;Oct 4, 2016 to Oct 25, 2016;Comedy, Romance, Shoujo;6.19;N/A;7275;8527;https://cdn.myanimelist.net/images/anime/13/82610.jpg;4
Buddy Spirits;ONA;Finished Airing;Sep 3, 2013;Action, Mecha;5.33;621;9835;11319;https://cdn.myanimelist.net/images/anime/13/55727.jpg;1
Bug;ONA;Finished Airing;Mar 31, 2019 to Apr 1, 2019;Dementia;N/A;178;13250;14966;https://cdn.myanimelist.net/images/anime/1889/101685.jpg;4
Bug tte Honey;TV;Finished Airing;Oct 3, 1986 to Sep 25, 1987;Adventure, Comedy;N/A;363;13251;12633;https://cdn.myanimelist.net/images/anime/7/28163.jpg;51
Bug tte Honey: Megarom Shoujo Mai 4622;Movie;Finished Airing;Jul 21, 1987;Adventure, Comedy;N/A;230;13252;14073;https://cdn.myanimelist.net/images/anime/12/76739.jpg;1
Buggy Map;Special;Finished Airing;Dec 9, 2014 to Apr 1, 2015;Dementia;5.07;186;10254;14814;https://cdn.myanimelist.net/images/anime/1690/96921.jpg;2
Buki yo SarabaA Farewell to Arms;Movie;Finished Airing;Jul 20, 2013;Action, Drama, Sci-Fi;6.94;N/A;3830;5010;N/A;1
Bulg-eunmaeRed Hawk - Weapon Of Death;Movie;Finished Airing;Aug 5, 1995;Super Power, Martial Arts;5.57;965;9282;10302;N/A;1
Bulsajo Robot Phoenix KingDefenders of Space;Movie;Finished Airing;1984;Action, Space, Mecha, Shounen;4.98;396;10345;12443;N/A;1
Bumblebee Hajimete no Chikyuu Seikatsu;ONA;Finished Airing;Mar 20, 2019 to Apr 11, 2019;Sci-Fi, Comedy, Parody, Mecha;N/A;129;13253;15835;https://cdn.myanimelist.net/images/anime/1426/100569.jpg;3
Bunbuku Chagama;Movie;Finished Airing;Jul, 1928;Kids;N/A;276;13254;13429;https://cdn.myanimelist.net/images/anime/6/63901.jpg;1
Bunbuku Chagama (1958);Movie;Finished Airing;1958;;N/A;257;13255;13689;https://cdn.myanimelist.net/images/anime/2/72000.jpg;1
Bungaku Shoujo;Music;Finished Airing;May 27, 2015;Music;5.93;330;8278;12891;https://cdn.myanimelist.net/images/anime/1165/99217.jpg;1
Bungaku Shounen no YuuutsuThe Melancholia of a Literary Boy;Music;Finished Airing;Jun 29, 2011;Drama, Music;5.64;284;9114;13357;N/A;1
Bungou Stray DogsBungo Stray Dogs;TV;Finished Airing;Apr 7, 2016 to Jun 23, 2016;Action, Comedy, Mystery, Seinen, Super Power, Supernatural;7.78;N/A;858;116;N/A;12
Bungou Stray Dogs 2nd SeasonBungo Stray Dogs 2;TV;Finished Airing;Oct 6, 2016 to Dec 16, 2016;Action, Mystery, Seinen, Super Power, Supernatural;8.21;N/A;292;273;N/A;12
Bungou Stray Dogs 3rd Season;TV;Finished Airing;Apr 12, 2019 to Jun 28, 2019;Action, Mystery, Seinen, Super Power, Supernatural;8.17;N/A;328;531;https://cdn.myanimelist.net/images/anime/1037/100463.jpg;12
Bungou Stray Dogs Wan!;TV;Not yet aired;Jan 13, 2021 to ?;Slice of Life, Comedy, Supernatural;N/A;N/A;N/A;4206;https://cdn.myanimelist.net/images/anime/1098/109522.jpg;N/A
Bungou Stray Dogs: Dead Apple;Movie;Finished Airing;Mar 3, 2018;Action, Comedy, Mystery, Super Power, Supernatural;7.82;N/A;789;1184;https://cdn.myanimelist.net/images/anime/1127/93981.jpg;1
Bungou Stray Dogs: Hitori AyumuBungo Stray Dogs 2 Episode 25 - Walking Alone;OVA;Finished Airing;Aug 4, 2017;Action, Mystery, Seinen, Super Power, Supernatural;7.66;N/A;1128;1528;N/A;1
Bungou to Alchemist: Shinpan no HagurumaBungo and Alchemist -Gears of Judgement-;TV;Finished Airing;Apr 4, 2020 to Aug 8, 2020;Action, Adventure, Fantasy;6.29;N/A;6806;3038;N/A;13
Bunna yo Ki kara Orite Koi;Movie;Finished Airing;Mar 21, 1987;Adventure, Kids;N/A;151;13256;15430;https://cdn.myanimelist.net/images/anime/5/61155.jpg;1
Buonomo;ONA;Finished Airing;2005 to 2006;Slice of Life;N/A;152;13257;15403;https://cdn.myanimelist.net/images/anime/2/71521.jpg;13
Buppu na Mainichi;TV;Finished Airing;Mar 11, 2017 to Sep 9, 2017;Comedy;N/A;307;13258;13092;https://cdn.myanimelist.net/images/anime/3/84189.jpg;27
Burenai Ai de;Music;Finished Airing;Aug 29, 2014;Music;6.51;N/A;5746;9352;https://cdn.myanimelist.net/images/anime/11/74625.jpg;1
Burn the Witch;Movie;Finished Airing;Oct 2, 2020;Action, Magic, Fantasy, Shounen;7.22;N/A;2663;1358;https://cdn.myanimelist.net/images/anime/1993/108967.jpg;3
Burn Up Excess;TV;Finished Airing;Dec 12, 1997 to Jul 1, 1998;Action, Adventure, Comedy, Ecchi, Police, Sci-Fi, Shounen;6.56;N/A;5521;4963;https://cdn.myanimelist.net/images/anime/6/75501.jpg;13
Burn Up Scramble;TV;Finished Airing;Jan 12, 2004 to Mar 29, 2004;Action, Comedy, Drama, Ecchi, Police, Sci-Fi, Shounen;6.20;N/A;7241;5210;https://cdn.myanimelist.net/images/anime/12/75500.jpg;12
Burn Up!;OVA;Finished Airing;Mar 21, 1991;Action, Sci-Fi, Comedy, Police, Ecchi;6.08;N/A;7764;5618;https://cdn.myanimelist.net/images/anime/4/2888.jpg;1
